,Beers,Brewery,abv,Url
1085,Pistonhead Christmas Carol,Spendrups Bryggeri AB,5.60,/beer/profile/4087/88199/
1086,Premium Dark,Paderborner Isenbeck Brauerei Haus Cramer GmbH & Co. KG, ? ,/beer/profile/120/400/
1087,Ottakringer Dunkles,Ottakringer Brauerei AG,4.90,/beer/profile/584/31384/
1088,Das Ambräusianum Dunkel,Das Ambräusianum, ? ,/beer/profile/9978/20128/
1089,Tegernsee Dunkel,Herzoglich Bayerisches Brauhaus Tegernsee,5.50,/beer/profile/1796/6577/
1090,Gösser Stiftsbräu,Brauerei Göss (Brau Union),4.50,/beer/profile/4477/55988/
1091,Schmidt's Dark,Elevator Brewery & Draught Haus, ? ,/beer/profile/1464/29134/
1092,Moosejaw Dunkel Lager,Wisconsin Dells Brewing Co., ? ,/beer/profile/1749/6640/
1093,Samson 1795 Original Czech Lager Dark,První Budějovický Pivovar Samson,4.50,/beer/profile/303/128754/
1094,Hofbrauhaus Berchtesgadener Dunkel,Hofbrauhaus Berchtesgaden, ? ,/beer/profile/1797/84743/
1095,Munich Dunkel,Ferguson Brewing Company,5.20,/beer/profile/22917/58637/
1096,Paulistânia Escura,Casa Di Conti,5.60,/beer/profile/10924/79632/
1097,Dunkel Down,O'Fallon Brewery,5.10,/beer/profile/3268/315923/
1098,Teerenpeli Laiskajaakko Luomu,Olutravintola Teerenpeli,4.50,/beer/profile/13634/153877/
1099,Dunkel Lager,Marshall Brewing Company,4.80,/beer/profile/16878/330279/
1100,Kneitinger Dunkel Export,Brauerei Johann Kneitinger,5.20,/beer/profile/5913/23350/
1101,Spezial Dunkel,Brauerei Schloss Eggenberg,4.80,/beer/profile/285/4956/
1102,Focal Point Munich Dunkel,Exhibit 'A' Brewing Company,5.00,/beer/profile/44858/453731/
1103,Schinner Braunbier,Brauhaus Schinner,5.40,/beer/profile/5995/41322/
1104,Samuel Adams Oaked Dunkel,Boston Beer Company (Samuel Adams),6.30,/beer/profile/35/119503/
1105,Alligator Blackened Lager,Alley Kat Brewing Company,5.00,/beer/profile/711/17106/
1106,Dunk,Rhinegeist Brewery,4.70,/beer/profile/31995/176598/
1107,Chocolate Dunkel,No-Li Brewhouse,6.50,/beer/profile/936/17162/
1108,Eichhof Hubertus Dunkel,Brauerei Eichhof,5.70,/beer/profile/1632/50964/
1109,Gunsmith Dunkel Lager,Natty Greene's Pub & Brewing Co.,5.20,/beer/profile/9792/39453/
1110,Dunkelnacht Dark Lager,The Kingston Brewing Company,5.00,/beer/profile/4035/41528/
1111,Dunkel,Waldmann Brewery & Wurstery,5.20,/beer/profile/50617/315200/
1112,7 Stern Prager Dunkles,Siebensternbräu,4.40,/beer/profile/4098/30530/
1113,New Town 11° Dark Lager,První Novoměstský restaurační pivovar,4.30,/beer/profile/4443/14407/
1114,Mahou Maestra Dunkel,Mahou S.A.,6.10,/beer/profile/920/372822/
1115,Festbier,Krug-Bräu,5.50,/beer/profile/6087/76905/
1116,Memminger Lager Schwarz,Memminger Brauerei,5.10,/beer/profile/4453/9604/
1117,Cave Aged Barrel Aged No. 7,August Schell Brewing Company, ? ,/beer/profile/417/516238/
1118,Starobrno Cerne (Black),"Pivovar Starbrno, A.S.",3.80,/beer/profile/2044/31131/
1119,Litovel Dark,Pivovar Litovel,3.80,/beer/profile/4108/51114/
1120,Riegele Æchtes Dunkel,Brauhaus Riegele,4.90,/beer/profile/5850/113325/
1121,Pan Tamni,Carlsberg Croatia,5.50,/beer/profile/16983/107484/
1122,Almaza Pure Malt,Brasserie Almaza S.A.L.,6.00,/beer/profile/840/72669/
1123,Dama Bier München,Dama Bier,4.80,/beer/profile/23953/82407/
1124,Nocturne,Lamplighter Brewing Company,4.40,/beer/profile/43127/336387/
1125,Nova Schin Munich,Brasil Kirin,4.20,/beer/profile/3715/19982/
1126,Pacena Black,Cerveceria Boliviana Nacional S.A.,5.00,/beer/profile/2923/72221/
1127,Rasen Bier Dunkel,Cervejaria Rasen Bier Ltda,4.80,/beer/profile/20991/62750/
1128,Tell Tale Lager,Boston Beer Works - Canal Street,5.50,/beer/profile/299/34344/
1129,Ottakringer Gold Fassl Dunkles,Ottakringer Brauerei AG,5.20,/beer/profile/584/84531/
1130,Rekord,Turbinenbräu,5.20,/beer/profile/22249/67648/
1131,Dithmarscher Dunkel,Dithmarscher Brauerei / Karl Hintz GmbH & Co.KG,4.90,/beer/profile/3048/7251/
1132,Kalla Tiders Ängöl,Ängöl,5.80,/beer/profile/22977/76388/
1133,Bavarian Dark Lager,Devils Backbone Brewing Company,5.70,/beer/profile/18539/106354/
1134,Černovar Černé,Městský Pivovar Platan S.r.o.,4.60,/beer/profile/11205/28539/
1135,Alpirsbacher Klosterbräu Kloster Dunkel,Alpirsbacher Klosterbräu,5.20,/beer/profile/2629/44156/
1136,Paper Thin Walls,Short's Brewing Company,4.60,/beer/profile/9629/180873/
1137,Hammer Toss,Wolf's Ridge Brewing,5.20,/beer/profile/33530/493201/
1138,Koutský 14° Tmavý Speciál,Pivovar Kout na Šumavě,6.00,/beer/profile/22074/59035/
1139,St. Georgenbräu Landbier,St. Georgenbräu,4.90,/beer/profile/295/21422/
1140,Schokobier,Freigeist Bierkultur,5.00,/beer/profile/50742/112304/
1141,Alley-oop Dunkel,Free State Brewing Co.,5.60,/beer/profile/642/67767/
1142,Buoy,Buoy Beer Company,5.50,/beer/profile/34327/125391/
1143,Hofbräu Dunkel,Hofbräuhaus Columbus,5.50,/beer/profile/37352/143832/
1144,Dunkel,Occidental Brewing Co.,5.20,/beer/profile/26607/99044/
1145,Einbecker Dunkel,Einbecker Brauhaus AG,4.90,/beer/profile/66/116736/
1146,Dunkel Lager,Buoy Beer Company,5.50,/beer/profile/34327/395522/
1147,Negra,Daredevil Brewing Co,5.40,/beer/profile/30626/342792/
1148,Winter Lager,Wolverine State Brewing Company,6.50,/beer/profile/24808/119821/
1149,Galway Hooker Irish Dark Lager,Galway Hooker Brewery,4.30,/beer/profile/16414/162861/
1150,Munchner Dunkel,Wigram Brewing Co,5.00,/beer/profile/13231/28718/
1151,Ott Obaladara,Brauerei Ott,5.30,/beer/profile/5949/43823/
1152,Long Ship Lager,"Dempsey's Brewery, Restaurant & Pub", ? ,/beer/profile/9388/25655/
1153,Irsser Kloster-Urdunkel,Irseer Klosterbräu,5.60,/beer/profile/1798/64059/
1154,Vikingathor,Cervezas Artesana Arriaca,8.20,/beer/profile/43163/200522/
1155,Dunkel Lager,Sigtuna Brygghus,5.50,/beer/profile/14439/72778/
1156,Schlossbier,Hollow Pointe Brewery,5.30,/beer/profile/51617/322391/
1157,Schwarzer Bär,Brauerei Schützengarten AG,5.00,/beer/profile/732/68189/
1158,Dunkel,Devils Backbone Brewing Company,5.10,/beer/profile/18539/356707/
1159,Ahornberger Dunkel,Ahornberger Landbrauerei,5.10,/beer/profile/2769/11118/
1160,Red Rock Munich Dunkel,Red Rock Brewing Company,4.00,/beer/profile/1412/30086/
1161,Meisterbräu Vollbier Dunkel,Brauerei Georg Meister,4.90,/beer/profile/20898/52105/
1162,New Flame,2nd Shift Brewing,5.50,/beer/profile/24428/430993/
1163,Dunkel,Zwei Brüder Brewing, ? ,/beer/profile/36865/192149/
1164,Landwehr Dunkles Landbier,Landwehr-Bräu - Privatbrauerei Wörner,5.20,/beer/profile/930/2968/
1165,Teerenpeli Laiskajaakko,Olutravintola Teerenpeli,4.50,/beer/profile/13634/29849/
1166,Postwirts Dunkel,Brauerei Gasthof Hotel Post,4.90,/beer/profile/2635/34457/
1167,Vulkan Dunkles,Vulkan Brauhaus GmbH,5.10,/beer/profile/10114/21160/
1168,Irish Beer,Browar Kormoran,6.50,/beer/profile/24132/118977/
1169,Rieder Dunkel,Brauerei Ried,5.00,/beer/profile/7285/60105/
1170,Driller Dunkel,Marshall Brewing Company,5.50,/beer/profile/16878/169679/
1171,Ueli Robur Dunkel,Brauerei Fischerstube AG,4.80,/beer/profile/7533/13778/
1172,Dark Lager,Jem's Beer Factory,5.00,/beer/profile/24601/81619/
1173,Altenmünster Dunkel,Allgäuer Brauhaus AG, ? ,/beer/profile/890/62452/
1174,Dunkel,Braumanufaktur Forsthaus Templin,4.90,/beer/profile/25397/78861/
1175,Dunkel,Coppertail Brewing Co.,4.60,/beer/profile/33064/261411/
1176,Zwettler Dunkles,Brauerei Zwettl Karl Schwarz GmbH,3.40,/beer/profile/7290/25901/
1177,D.U.N.K.L.E,Zero Gravity Craft Brewery / American Flatbread, ? ,/beer/profile/9784/44333/
1178,Munich Dunkel,The Civil Life Brewing Company,4.40,/beer/profile/26824/79152/
1179,Dark Munich Lager,Reuben's Brews,5.30,/beer/profile/29693/525367/
1180,Plankstettener Dunkles,Riedenburger Brauhaus,5.00,/beer/profile/2472/26167/
1181,Kingdom Dark Lager,Kingdom Breweries,5.00,/beer/profile/24586/90941/
1182,Richard Wagner Dunkel,Brauerei Richard Wagner,5.50,/beer/profile/5959/52295/
1183,Dunkel Lager,Brasserie Artisanale Maltstrom,5.00,/beer/profile/47277/267596/
1184,Junk In The Dunk,Denizens Brewing Co. Silver Spring Barrel House & Beer Garden,6.30,/beer/profile/35987/144984/
1185,Bamberg München,Micro Cervejaria Bamberg,4.80,/beer/profile/18393/62554/
1186,Erinnerungstrunk,Unertl Weissbier,5.80,/beer/profile/3694/23659/
1187,Dirtbag Dunkel,Bonfire Brewing Co.,4.90,/beer/profile/24817/111726/
1188,Eichhofener Spezial Dunkel,Schlossbrauerei Eichhofen,5.50,/beer/profile/6156/103026/
1189,Joh. Albrecht Kupfer,Brauhaus Joh. Albrecht GmbH, ? ,/beer/profile/6800/34676/
1190,Zeos Black,Zeos Brewing Company S.A.,5.00,/beer/profile/17286/185974/
1191,Munich Lager,Desert Edge Brewery,4.00,/beer/profile/1413/20859/
1192,Slow Chill Dunkel Lager,Oskar Blues Grill & Brew,5.50,/beer/profile/2681/513191/
1193,Dunkel,Kinslahger Brewing Company,5.80,/beer/profile/44995/246698/
1194,Munich Lager,Brock Street Brewing Company,6.00,/beer/profile/40319/506552/
1195,Gerst,Pittsburgh Brewing Co., ? ,/beer/profile/410/8387/
1196,Mile Of Munich,Lion's Tail Brewing Co. & Tap Room,5.40,/beer/profile/43624/208067/
1197,Negra Royale,Austin Beer Garden Brewing Co.,4.90,/beer/profile/32581/263117/
1198,Dachsenfranz Dunkel,Brauereigasthof-Hotel Adler,4.90,/beer/profile/2127/44499/
1199,Night Surfing Munich Dunkel,Rip Current Brewing,5.00,/beer/profile/30458/175575/
1200,Aecht Schlenkerla Rauchbier Märzen,Brauerei Heller-Trum / Schlenkerla,5.40,/beer/profile/263/727/
1201,Aecht Schlenkerla Rauchbier Urbock,Brauerei Heller-Trum / Schlenkerla,6.60,/beer/profile/263/1324/
1202,Smoke & Dagger,Jack's Abby Brewing,5.80,/beer/profile/26520/71501/
1203,Aecht Schlenkerla Eiche,Brauerei Heller-Trum / Schlenkerla,8.00,/beer/profile/263/54731/
1204,Aecht Schlenkerla Rauchbier Weizen,Brauerei Heller-Trum / Schlenkerla,5.20,/beer/profile/263/1018/
1205,Samuel Adams Cinder Bock,Boston Beer Company (Samuel Adams),9.45,/beer/profile/35/77231/
1206,Aecht Schlenkerla Fastenbier (Lentbeer),Brauerei Heller-Trum / Schlenkerla,5.90,/beer/profile/263/21704/
1207,Fire In The Ham,Jack's Abby Brewing,5.40,/beer/profile/26520/86211/
1208,Lager,Brauerei Spezial,4.70,/beer/profile/913/2960/
1209,Coffee Smoke & Dagger,Jack's Abby Brewing,5.80,/beer/profile/26520/81168/
1210,Trösten,von Trapp Brewing,6.00,/beer/profile/22512/63797/
1211,Rauch Ür Bock,Caldera Brewing Company,7.40,/beer/profile/1075/58046/
1212,Eisenbahn Rauchbier,Cervejaria Sudbrack Ltda,6.30,/beer/profile/10096/28315/
1213,SWISHR - Cherry,Carton Brewing Company,6.00,/beer/profile/26817/113785/
1214,Ludwig's Revenge,Roy Pitz Brewing Company,5.00,/beer/profile/17034/42581/
1215,Rauchbier,Brauerei Göller,4.90,/beer/profile/1488/31051/
1216,Saranac Rauchbier Smoked Lager,Matt Brewing Company / Saranac Brewery,5.60,/beer/profile/99/33301/
1217,Zwönitzer Rauchbier,Brauerei-Gasthof Zwönitz,4.80,/beer/profile/4818/112229/
1218,Punkrauch,Le Trou Du Diable,6.50,/beer/profile/13605/104916/
1219,Roog,BraufactuM - Die Internationale Brau-Manufacturen GmbH,6.30,/beer/profile/24542/94675/
1220,Orange Swisher,Carton Brewing Company,6.00,/beer/profile/26817/156991/
1221,Rauchbier,Southern Star Brewing Company,5.60,/beer/profile/16759/45579/
1222,Chicago Smoke,Revolution Brewing,6.20,/beer/profile/22072/99941/
1223,Bonfire Of The Valkyries,New Albanian Brewing Company - Pizzeria and Public House,8.00,/beer/profile/2504/34502/
1224,Aecht Schlenkerla Kräusen,Brauerei Heller-Trum / Schlenkerla,4.55,/beer/profile/263/73411/
1225,Märzen,Brauerei Spezial,5.30,/beer/profile/913/6604/
1226,Friar Bacon Smoked Bock,Listermann Brewing Company,7.00,/beer/profile/3474/59656/
1227,Rauchbier,Sly Fox Brewing Company,5.20,/beer/profile/1853/25492/
1228,Smoky Mary,New Orleans Lager & Ale Brewing Company (NOLA),5.30,/beer/profile/18854/72679/
1229,Smoke Out,Starr Hill Brewery,8.00,/beer/profile/13667/45880/
1230,Deep Purple Rauchbier,Marshall Wharf Brewing Company / Three Tides Restaurant,6.20,/beer/profile/16842/59969/
1231,Manzanita,Fort Point Beer Company,6.50,/beer/profile/34017/129396/
1232,The Lubitsch Touch,Right Proper Brewing Company - Shaw Brewpub,4.70,/beer/profile/33521/110195/
1233,Schwarzer Rauch,Live Oak Brewing Company,4.50,/beer/profile/383/115843/
1234,Smokey The Beer,Zero Gravity Craft Brewery / American Flatbread,5.20,/beer/profile/9784/53948/
1235,Smokin',Great North Aleworks,5.50,/beer/profile/41923/185671/
1236,Rauchbier,Iron Hill Brewery & Restaurant,3.80,/beer/profile/6045/45316/
1237,Peach Swisher,Carton Brewing Company,6.00,/beer/profile/26817/260927/
1238,Weiherer Rauch,Brauerei Gasthof Kundmüller,5.30,/beer/profile/5928/33055/
1239,Affumicator,Gänstaller Braumanufaktur,9.80,/beer/profile/27900/81439/
1240,Wildfire Rauchbier,Penobscot Bay Brewery,5.40,/beer/profile/19916/80750/
1241,Smokehaus Rauchbier,Devils Backbone Brewing Company,5.30,/beer/profile/18539/112216/
1242,Rauchbier,Dovetail Brewery,5.30,/beer/profile/45802/232379/
1243,Weisser Rauch,Live Oak Brewing Company,5.30,/beer/profile/383/120056/
1244,Smoked Lager,Bell's Brewery - Eccentric Café & General Store,5.90,/beer/profile/287/57616/
1245,Hallerndorfer Raiterla Rauchbier,Brauerei Gasthof Rittmayer,5.00,/beer/profile/12677/33137/
1246,Rauchbock,Appalachian Brewing Company,7.00,/beer/profile/1336/44411/
1247,Maple Rauch,von Trapp Brewing,6.00,/beer/profile/22512/464521/
1248,Bamberg Rauchbier,Micro Cervejaria Bamberg,4.80,/beer/profile/18393/47536/
1249,Rauchbier,Fort Hill Brewery,5.90,/beer/profile/37302/162840/
1250,Bishop Bob's Holy Smoke,Dragonmead Microbrewery,5.60,/beer/profile/2085/9243/
1251,Seltzer's Smokehaus 7,Snitz Creek Brewery,7.60,/beer/profile/33818/153429/
1252,Buchenrauch Lager,Wolf's Ridge Brewing,5.70,/beer/profile/33530/145771/
1253,Ghisa,Birrificio Lambrate,5.00,/beer/profile/2303/9930/
1254,Herbstklagen,HammerHeart Brewing Company,7.00,/beer/profile/31326/138250/
1255,Eldir,Banded Brewing Co.,5.60,/beer/profile/34102/119506/
1256,Short Fuse,Threes Brewing,4.20,/beer/profile/37460/298762/
1257,3 Ravens Dark,3 Ravens Brewing,5.20,/beer/profile/4778/39819/
1258,Rauchbier,Gordon Biersch Brewery Restaurant,7.00,/beer/profile/1551/46513/
1259,Rauchbier,Triumph Brewing Company,5.50,/beer/profile/1317/13784/
1260,Smokin' Beech,Circle Brewing Company,5.00,/beer/profile/24825/85816/
1261,Smoked Lager,Blue Stallion Brewing Co.,5.70,/beer/profile/32180/97204/
1262,Smoke Lager,TAPS Brewery,4.50,/beer/profile/19654/60986/
1263,Fujizakura Rauchbier,Fujikankokaihatsu Co. Ltd. / Sylvans Restaurant,5.50,/beer/profile/5048/24438/
1264,Smoky George,Brauerei Gasthof Rittmayer,7.00,/beer/profile/12677/36815/
1265,Bockbier,Brauerei Spezial,4.60,/beer/profile/913/14569/
1266,Kohlminator Smoked Bock,Fat Head's Brewery & Saloon,7.00,/beer/profile/19544/79623/
1267,The Fabulator,Central City Brewers + Distillers,6.50,/beer/profile/10321/200203/
1268,La Lapin Que Fume,Brewery Vivant,5.10,/beer/profile/24678/114202/
1269,7 Stern Bamberger Rauchbier,Siebensternbräu,5.20,/beer/profile/4098/35402/
1270,Croydon Is Burning,Neshaminy Creek Brewing Company,5.70,/beer/profile/29021/249360/
1271,Wilbur,Fort Hill Brewery,5.90,/beer/profile/37302/271705/
1272,Foraging Swine,Scorched Earth Brewing Company,5.20,/beer/profile/36194/147315/
1273,Sugarfire Smoked Lager,Excel Brewing Company,5.00,/beer/profile/30695/163995/
1274,Smokey The Beer,Russell Brewing Company,5.30,/beer/profile/4045/110337/
1275,Rauchbier,Liquid Riot Bottling Company,4.70,/beer/profile/31515/96276/
1276,Rauch Bock,Heater Allen Brewing,6.50,/beer/profile/16378/317250/
1277,Rauchbier,Triumph Brewing Company,5.70,/beer/profile/4832/22270/
1278,Wreck-It-Rauch,Aardwolf Brewing Company,5.80,/beer/profile/30858/133413/
1279,Kaiser Rauchtenstein Dry-hopped Smoked Helles,Haymarket Beer Co. Pub & Brewery,4.50,/beer/profile/24445/131686/
1280,Smokey The Beer,Blind Tiger Brewery & Restaurant, ? ,/beer/profile/1334/12242/
1281,Rauch,Brown's Brewing Company,5.50,/beer/profile/9558/24353/
1282,Rauch Lager Bier,Lavery Brewing Company,5.80,/beer/profile/23635/172070/
1283,Nakoureny Svihak,Pivovar Eggenberg & Restaurant Eggenberg,5.20,/beer/profile/7482/70955/
1284,Rauchbier Hell,Heater Allen Brewing,5.00,/beer/profile/16378/498033/
1285,Roesch's Rauch,Wormtown Brewery,5.30,/beer/profile/22200/181963/
1286,Son Of A Beech Rauchbier,The Wrecking Bar Brewpub,5.90,/beer/profile/25800/85708/
1287,Blackstrap Ale,Switchback Brewing Company,5.90,/beer/profile/5691/305113/
1288,Richter Rauch,Aftershock Brewing Co.,5.70,/beer/profile/31398/93503/
1289,Smoked Lager,Denver Beer Co.,5.40,/beer/profile/26620/72538/
1290,Smoky Bob,Heater Allen Brewing,5.15,/beer/profile/16378/56690/
1291,Kraus Hirschentrunk,Brauerei Kraus,5.50,/beer/profile/5927/48010/
1292,Second Hand Smoke,SandLot Brewery @ Coors Field (Blue Moon Brewing Company), ? ,/beer/profile/987/20145/
1293,Hummel Räucherla,Brauerei Julius Hummel,5.60,/beer/profile/5918/24548/
1294,Rauchbier,S:t Eriks Bryggeri,5.50,/beer/profile/31482/107493/
1295,Rauchbier,Notch Brewing,4.20,/beer/profile/22723/156140/
1296,Kelso Rauchbier,Greenpoint Beerworks / Kelso of Brooklyn,5.00,/beer/profile/8768/80920/
1297,Hartmann Felsentrunk,Brauerei Gasthof Hartmann,5.20,/beer/profile/2723/6439/
1298,Rauchbier,Brauerei Gasthof Rittmayer,4.90,/beer/profile/12677/88134/
1299,Fischer Rauchbier,Brauerei Norbert Fischer,4.90,/beer/profile/5948/36177/
1300,Räucherl,Kaiser Bräu,5.40,/beer/profile/5581/34170/
1301,Helsinge Rököl,Helsinge Ångbryggeri,5.00,/beer/profile/7220/22938/
1302,Sieben Hugel,Brasserie Dieu du Ciel!,4.90,/beer/profile/1141/61946/
1303,Franz Xaver,Gänstaller Braumanufaktur,5.60,/beer/profile/27900/278011/
1304,Bernard,Urban Chestnut Brewing Company - Midtown Brewery & Biergarten,3.40,/beer/profile/24764/190205/
1305,Weyermann Schlotfegerla,Weyermann Brauerei GmbH,5.20,/beer/profile/6044/69913/
1306,Vieux Tuyé,Brasserie Rouget De Lisle,6.00,/beer/profile/9813/18726/
1307,Rauchbier,Scratch Brewing Company,5.90,/beer/profile/31049/113493/
1308,Red Rock Rauch Bier,Red Rock Brewing Company,4.00,/beer/profile/1412/53370/
1309,The Big Meat,Enegren Brewing Company,7.60,/beer/profile/25260/194462/
1310,Lost Bridge,Saddlebock Brewery,5.00,/beer/profile/29171/113062/
1311,Rauchbier,Daredevil Brewing Co,5.50,/beer/profile/30626/214470/
1312,Up In Smoke,Allentown Brew Works,7.00,/beer/profile/16096/83662/
1313,Rauchbier,Noon Whistle Brewing,5.00,/beer/profile/38311/199641/
1314,Weiherer Rauchbock,Brauerei Gasthof Kundmüller,7.00,/beer/profile/5928/174069/
1315,Muenchner Rauchbier,People's Brewing Company,5.50,/beer/profile/21952/188920/
1316,Whispering Embers,Valkyrie Brewing,5.00,/beer/profile/683/100103/
1317,Drei Kronen Stöffla,Brauerei & Gasthof Drei Kronen, ? ,/beer/profile/2297/18506/
1318,Bamberg Castle Smoked Ale,Cameron's Brewing Co.,5.40,/beer/profile/3912/253285/
1319,Gimme S'more,Against The Grain Brewery & Smokehouse,8.20,/beer/profile/26850/196718/
1320,Egoiste,Brewery Vivant,6.50,/beer/profile/24678/159161/
1321,Rauchbier,New Paltz Brewing Company (Pfälzerbräu),5.10,/beer/profile/43976/210923/
1322,Autumn Fire,Fat Head's Brewery & Saloon, ? ,/beer/profile/19544/62456/
1323,Rauchbier,Lunar Brewing,6.50,/beer/profile/3768/62205/
1324,Flue Faker,Camden Town Brewery,5.80,/beer/profile/25929/127549/
1325,Bitterschon,Bluejacket / Arsenal Restaurant,5.00,/beer/profile/29008/110685/
1326,Mellowood Rauchbier,Urban Roots Brewing & Smokehouse,5.60,/beer/profile/52529/487293/
1327,Dim Lights,Moonlight Brewing Company,6.30,/beer/profile/763/275855/
1328,La Bamba,Chili Line Brewing Co.,6.00,/beer/profile/48142/281769/
1329,El Jefe,Chili Line Brewing Co.,7.00,/beer/profile/48142/286406/
1330,Feuer und Wasser Helles Lager,Wolf's Ridge Brewing,4.90,/beer/profile/33530/304338/
1331,Rauchbier,7Stern Bräu,5.10,/beer/profile/28972/161510/
1332,Original Singe,Hilliard's Beer,5.30,/beer/profile/26918/111848/
1333,Baron von Smoke,Brewery Silvaticus,5.60,/beer/profile/48784/308972/
1334,Smoke,Weird Beard Brew Co.,5.10,/beer/profile/31624/152049/
1335,Lost In the Dream,Notch Brewing,4.50,/beer/profile/22723/508661/
1336,Rauchbock,Fair State Brewing Cooperative,6.00,/beer/profile/35996/146940/
1337,Dymy Marcowe,Browar Pinta,5.00,/beer/profile/29347/130062/
1338,Equinoxe D'automne,Brasserie Dieu du Ciel!,7.00,/beer/profile/1141/20513/
1339,Rauchbier Lager,Flying Goose Brew Pub & Grille,5.80,/beer/profile/1788/78374/
1340,Meadow Fire,Minneapolis Town Hall Brewery,8.00,/beer/profile/1177/354353/
1341,Rauchbier,Bierkeller,5.30,/beer/profile/45306/257590/
1342,Rauch Sham Bo,Coronado Brewing Company,4.80,/beer/profile/2447/131384/
1343,Cerveza Castellana Ahumada,Daviyun (Cerveza SAGRA),4.80,/beer/profile/29834/222022/
1344,Rauching Tiger,Against The Grain Brewery & Smokehouse,6.40,/beer/profile/26850/152135/
1345,Roken,Brekeriet,7.00,/beer/profile/30357/88392/
1346,Campfire,Goose Island Beer Co.,5.40,/beer/profile/1146/189259/
1347,Kouřove Pivo,Pivovar U Tří Růží,5.10,/beer/profile/30113/99933/
1348,Linear Ashes,Wayfinder Beer,5.50,/beer/profile/45456/529502/
1349,BierWeek (2020),Hair Of The Dog Brewing Company / Brewery And Tasting Room,5.00,/beer/profile/173/492387/
1350,Flambée '64,Loup Rouge,6.50,/beer/profile/16943/150372/
1351,Splitter,Henniker Brewing Co.,5.00,/beer/profile/30697/325735/
1352,Rauch,The Monk Brewery & Kitchen,5.30,/beer/profile/19699/68718/
1353,Prairie Fire,Town Square Brewing Co.,5.00,/beer/profile/50640/307061/
1354,Dragonslayer,Grimm Brothers Brewhouse, ? ,/beer/profile/23076/113282/
1355,Rauchin' Rauch Bock 2010,Berwick Brewing Company, ? ,/beer/profile/16818/56706/
1356,Fire & Brimstone,Lazarus Brewing Company,4.10,/beer/profile/48264/322452/
1357,Lipperts Rauchbier,Braumanufaktur Lippert,5.20,/beer/profile/31541/93592/
1358,Sainnhus,Fonta Flora Brewery,6.60,/beer/profile/33145/470681/
1359,Skibsøl,Bryggeriet Refsvindinge,2.40,/beer/profile/9816/22960/
1360,Wild Hunt,Insight Brewing, ? ,/beer/profile/36843/194736/
1361,La Consumation,Le Trou Du Diable,5.60,/beer/profile/13605/38326/
1362,Brother Fox,ТАРКОС (TARKOS),4.90,/beer/profile/55108/459964/
1363,Rauchbier!,Exile Brewing Co., ? ,/beer/profile/29250/134353/
1364,Drudenhaus,Counter Weight Brewing Company,5.80,/beer/profile/47847/399828/
1365,Prosthörnla Spezial,Brauerei Hönig,5.40,/beer/profile/5912/82659/
1366,Rauch Macchio,Against The Grain Brewery & Smokehouse,6.30,/beer/profile/26850/198630/
1367,Athanor,Holy Mountain Brewing Company,4.80,/beer/profile/36949/380646/
1368,Sausage Party,Hop Hooligans,4.70,/beer/profile/45376/400616/
1369,Fire Walk With Me,Notch Brewing,4.50,/beer/profile/22723/355048/
1370,Rauchbier,Queen City Brewery,5.50,/beer/profile/33137/394481/
1371,Shadow Assassin,Short's Brewing Company,5.30,/beer/profile/9629/149498/
1372,Fumaça,Evil Twin Brewing,5.00,/beer/profile/24300/210701/
1373,Friedels Schlotfegerla,Brauhaus am Kreuzberg - Friedels Keller,4.90,/beer/profile/5809/68368/
1374,Blitz Kriek Bock,Bullfrog Brewery,5.00,/beer/profile/1114/74264/
1375,Glen Draught,Glen Whisk(e)y Bar,6.20,/beer/profile/32181/265249/
1376,Rauchbock,Iron Hill Brewery & Restaurant,6.90,/beer/profile/6045/131621/
1377,The Friend Of The Devil Is A Friend Of Mine,Freigeist Bierkultur,4.30,/beer/profile/50742/377128/
1378,Cinder,Triple Crossing Brewing,5.00,/beer/profile/34442/511277/
1379,Undertow,Barrier Brewing Company,5.40,/beer/profile/22928/157231/
1380,Rauch-Südla,Brauerei Hans Knoblach,5.10,/beer/profile/12355/251449/
1381,Smoked Helles,Emmett's Brewing Company,4.50,/beer/profile/5188/99646/
1382,Das Braun Lager,Perrin Brewing Co.,5.30,/beer/profile/29952/146262/
1383,Redheaded Rauchstar,Territorial Brewing Company,6.00,/beer/profile/37717/284250/
1384,The Heizer,Monks House of Ale Repute / Gandy Dancer Brew Works,5.00,/beer/profile/16525/361822/
1385,Special Rauchbier,Mahr's Bräu,4.60,/beer/profile/428/48996/
1386,Querkerla,Staffelberg-Bräu,5.20,/beer/profile/5970/123499/
1387,Rauch Helles Lager,Chuckanut Brewery & Kitchen,4.70,/beer/profile/18879/324725/
1388,Smoked Pale Ale,Flying Dog Brewery,5.50,/beer/profile/68/173430/
1389,Rauch of Ages,Free Will Brewing Co.,5.30,/beer/profile/28091/340867/
1390,Maria Soliña,Menduiña,7.00,/beer/profile/44562/235907/
1391,Encénsoir,Le Saint-Bock,5.00,/beer/profile/15732/93586/
1392,Dweller,The North Brewery,7.00,/beer/profile/30884/95134/
1393,Flapjack County (BA Maple Breakfast Stout),Levante Brewing Company,7.30,/beer/profile/40117/347810/
1394,Bamberg Rauchbier,Saugatuck Brewing Company,5.20,/beer/profile/11814/35498/
1395,"Wreck-It-Rauch - Peach, Vanilla And Chipotle",Aardwolf Brewing Company,5.80,/beer/profile/30858/142509/
