,Beers,Brewery,abv,Url
83,Wild Oats Series No. 9 - Winterbrewed,Beau's All Natural Brewing Company,6.00,/beer/profile/15435/66287/
84,Pocono Lager,"Lion Brewery, Inc.", ? ,/beer/profile/150/2084/
85,Chrome Satan,Hilliard's Beer,5.70,/beer/profile/26918/89867/
86,Smuttlabs Baja Hoodie,Smuttynose Brewing Company,8.40,/beer/profile/141/173714/
87,Pretzel Assassin,Denver Beer Co.,5.00,/beer/profile/26620/254640/
88,Rolling Rock Amber Lager,Latrobe Brewing Co.,4.00,/beer/profile/174/99679/
89,Grande Cuvée Réserve De Noël,Les Trois Mousquetaires,11.30,/beer/profile/11056/89401/
90,Saranac Irish Lager,Matt Brewing Company / Saranac Brewery,5.20,/beer/profile/99/265214/
91,Tijuana Morena,Consorcio Cervecero De Baja California ( La Taberna TJ ),4.80,/beer/profile/9370/22591/
92,RT Lager,Rivertowne Brewing,5.50,/beer/profile/30791/89742/
93,Copperpop,Bauhaus Brew Labs,5.60,/beer/profile/35769/166416/
94,Badger Club Beer,Wisconsin Brewing Co.,5.50,/beer/profile/33205/244857/
95,Fegley's Amber Lager,Allentown Brew Works,5.20,/beer/profile/16096/47815/
96,Laker Red,Waterloo Brewing,5.50,/beer/profile/416/19489/
97,Kross Golden Ale,Kross Microbrew Beer (Southern Brewing Company),5.00,/beer/profile/13659/50899/
98,Dogtown Brown,Diamond Bear Brewing Company,5.00,/beer/profile/414/106267/
99,Iron City Amber,Pittsburgh Brewing Co.,5.00,/beer/profile/410/76270/
100,Avenel Amber,J.J. Bitting Brewing Company,4.70,/beer/profile/1341/6153/
101,Henry Weinhard's Dark,Blitz-Weinhard Brewing Co., ? ,/beer/profile/719/6257/
102,Dirtyface Amber Lager,Icicle Brewing Company,5.00,/beer/profile/25393/92557/
103,Amber Lager,Cerveceria Patagonia Primitiva S.A.,4.50,/beer/profile/16127/57510/
104,Ramstein Amber Lager,High Point Brewing Company,5.00,/beer/profile/607/109252/
105,Rough Rider Red Lager,Hyde Park Brewing Company,5.70,/beer/profile/1423/15045/
106,Primátor Polotmavý Märzen,Pivovar Náchod a.s.,5.50,/beer/profile/707/36062/
107,Honey Brown,Quidi Vidi Brewing Company,5.00,/beer/profile/2281/11748/
108,Faxe Red,Royal Unibrew A/S,5.00,/beer/profile/783/29255/
109,Mallee Bull Heavy,Mildura Theatre Brewery Pty Ltd,5.60,/beer/profile/12319/26211/
110,Cusqueña Roja,Union De Cervecerias Peruanas Backus y Johnston,5.00,/beer/profile/1425/71694/
111,Brutus,Brouwerij Maximus,6.00,/beer/profile/28000/77083/
112,Lager,Woodhouse Brewing Co.,5.00,/beer/profile/36168/132925/
113,Honey Brown Lager,Bowen Island Brewing Co. Ltd.,5.00,/beer/profile/3446/52138/
114,Smoove,Modist Brewing Co.,5.50,/beer/profile/43654/229455/
115,Dos Equis Roja,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",4.50,/beer/profile/57/199587/
116,Bernard Amber Lager,Bernard Family Brewery,5.00,/beer/profile/2055/154406/
117,Beck’s Amber Lager,Brauerei Beck & Co.,5.70,/beer/profile/32/164400/
118,Craft American Lager,Due South Brewing Co.,4.60,/beer/profile/27077/152466/
119,Storm Watcher,Vancouver Island Brewing,5.50,/beer/profile/492/86932/
120,Quinn's Amber Lager,Pecatonica Beer Company,5.50,/beer/profile/32426/132148/
121,Broken Auger Lager,Broken Bow Brewery,5.00,/beer/profile/34168/126361/
122,Wild Bill's Wild Rice Lager,Minocqua Brewing Company,6.60,/beer/profile/791/7868/
123,Backyard Brew Lawn Mower,Carlsberg Sverige AB,4.80,/beer/profile/10897/85511/
124,Rooster Lager,Bank Brewing Co.,5.40,/beer/profile/34719/55324/
125,Southside Lager,Arches Brewing,5.40,/beer/profile/45080/232310/
126,Ol' Glory,American Beverage LLC, ? ,/beer/profile/29087/81554/
127,Holiday Honey,Old Credit Brewing Co.,5.00,/beer/profile/4036/29613/
128,Rolling Rock Red,Latrobe Brewing Co.,5.00,/beer/profile/174/42176/
129,Traditional Lager,Matt Brewing Company / Saranac Brewery,4.80,/beer/profile/99/33516/
130,Sequoia Amber Lager,Sarasota Brewing Company,5.50,/beer/profile/1618/28653/
131,Modelo Ambar,Grupo Modelo S.A. de C.V.,5.20,/beer/profile/75/186116/
132,Superior Rubia,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",4.50,/beer/profile/57/89357/
133,Old Fred,Brauerei Zoller-Hof,5.30,/beer/profile/6795/269146/
134,Hurry Hard,Triple Bogey Brewing Co.,5.00,/beer/profile/35763/188586/
135,Grand River Red,Detroit Beer Co.,6.10,/beer/profile/6865/58071/
136,Skipjack Amber,Anheuser-Busch,5.50,/beer/profile/29/37134/
137,La Crosse Amber Lager (Session Series),"City Brewing Company, LLC",4.50,/beer/profile/782/96093/
138,Crimson Lager,Clemson Bros. Brewery at The Gilded Otter,4.10,/beer/profile/1634/14515/
139,Kickin' Back Amber Lager,Eddyline Brewery,5.00,/beer/profile/46749/134713/
140,Generosity,Iron Duke Brewing,5.80,/beer/profile/38098/212553/
141,Freedom Road,Veteran Beer Company,5.00,/beer/profile/33449/197962/
142,De Koninck Anno 1833,Brouwerij De Koninck NV,5.20,/beer/profile/218/133199/
143,Copper Flask,"City Brewing Company, LLC",5.95,/beer/profile/782/37997/
144,Clancy's Red,Moosehead Breweries Ltd.,5.00,/beer/profile/379/34200/
145,Red Lager,Boston Beer Company (Samuel Adams),5.90,/beer/profile/35/359592/
146,Red Oktober,Wandering Star Brewing Company,6.80,/beer/profile/23694/86455/
147,Hudepohl Pure Lager,Hudepohl-Schoenling Brewing Co.,5.00,/beer/profile/431/203453/
148,Hitachino Nest Lager,Kiuchi Brewery,5.50,/beer/profile/697/163287/
149,Black Diamond Lager,Bend Brewing Company, ? ,/beer/profile/361/45502/
150,CHOPFAB AMBER,Doppelleu Brauwerkstatt,5.40,/beer/profile/33874/125914/
151,Copperpoint Lager,Copperpoint Brewing Company,5.00,/beer/profile/40686/178928/
152,Cacildis,Brassaria Ampolis,5.00,/beer/profile/35927/154617/
153,PC Honey Red,Waterloo Brewing,5.00,/beer/profile/416/30975/
154,Respeto,Mason Ale Works,4.50,/beer/profile/44218/315650/
155,T.N.T. 6% Strong Malt,Pacific Western Brewing Company,6.00,/beer/profile/473/7983/
156,Hangry Bock,Peekskill Brewery,6.00,/beer/profile/18168/157298/
157,Hinano Ambree,Brasserie de Tahiti S.A.,5.00,/beer/profile/2218/88739/
158,Red Bank Dark Lager,Berwick Brewing Company, ? ,/beer/profile/16818/68288/
159,Ungurio Kojos (Eel Legs),Raudonų Plytų Alaus Dirbtuvės (Brick By Brick Beer Workshop),5.30,/beer/profile/40956/176328/
